,ID,Name,N_from,N_from_2023,N_to,N_to_2023,delay_frac_from,delay_frac_from_2023,delay_frac_to,delay_frac_to_2023
128,12197,"White Plains, NY: Westchester County",86533,8618,86891,8639,0.20210786636312159,0.212462288233929,0.22917218123856326,0.23208704711193426
167,13158,"Midland/Odessa, TX: Midland International Air and Space Port",77130,4965,77302,4969,0.15261247244911189,0.1391742195367573,0.20078393831983649,0.19440531294022942
197,13577,"Myrtle Beach, SC: Myrtle Beach International",75167,9965,75349,9998,0.17113893064775765,0.173607626693427,0.17460085734382672,0.21524304860972193
224,14321,"Portland, ME: Portland International Jetport",74531,7104,74823,7105,0.17938844239309817,0.18003941441441443,0.21072397524825254,0.2071780436312456
179,13296,"Manchester, NH: Manchester Boston Regional",72626,4081,72653,4085,0.14403932475972792,0.18696397941680962,0.23083699227836427,0.23476132190942472
242,14689,"Santa Barbara, CA: Santa Barbara Municipal",72587,4597,72748,4611,0.1771529337209142,0.185120730911464,0.17990872601308627,0.21578833224896984
142,12448,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",71296,4778,71395,4778,0.15028893626570916,0.1262034323984931,0.1780096645423349,0.16387609878610296
55,11003,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",68067,4475,68259,4480,0.169215625780481,0.15798882681564247,0.1850012452570357,0.21808035714285715
155,12945,"Lexington, KY: Blue Grass",67702,5213,67775,5212,0.15410179906058905,0.14713216957605985,0.17695315381777943,0.16634689178818113
40,10781,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",67636,2728,67746,2731,0.17537997516115678,0.1532258064516129,0.1853541168482272,0.15708531673379714
130,12217,"Huntsville, AL: Huntsville International-Carl T Jones Field",65299,5124,65436,5120,0.14753671572305854,0.16120218579234974,0.17685983250809953,0.165625
262,14986,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",62971,10445,63131,10465,0.19448635085991964,0.2173288654858784,0.18889293690896708,0.22818920210224558
139,12402,"Hilo, HI: Hilo International",61379,4730,62182,4734,0.07691555743821177,0.14862579281183932,0.08533015985333377,0.20363329108576256
282,15624,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",61109,6207,61198,6213,0.1642474921860937,0.20654100209440954,0.19173829210104906,0.23338161918557862
249,14783,"Springfield, MO: Springfield-Branson National",59693,4710,59782,4712,0.17159465934029117,0.1883227176220807,0.18636044294269177,0.16893039049235994
47,10874,"Akron, OH: Akron-Canton Regional",58819,2166,58769,2165,0.14673829884901138,0.15373961218836565,0.20849427419217614,0.17829099307159355
103,11775,"Sioux Falls, SD: Joe Foss Field",58631,4476,58789,4481,0.16813631014309835,0.17761394101876676,0.1997482522240555,0.1981700513278286
251,14814,"Shreveport, LA: Shreveport Regional",57547,2494,57638,2493,0.16793229881661945,0.19807538091419408,0.1843748915645928,0.1532290413156839
46,10868,"Columbia, SC: Columbia Metropolitan",56984,3924,57048,3930,0.15848308297065844,0.14245667686034658,0.1993409059038003,0.18193384223918574
153,12896,"Lubbock, TX: Lubbock Preston Smith International",56716,3626,56800,3627,0.15147401086113266,0.16629895201323772,0.20776408450704226,0.2351805900192997
41,10785,"Burlington, VT: Burlington International",55281,5127,55553,5142,0.18425860603100522,0.1486249268578116,0.205371447086566,0.18339167639050952
19,10431,"Asheville, NC: Asheville Regional",54394,6936,54501,6945,0.18011177703423173,0.2116493656286044,0.19350103667822607,0.208207343412527
45,10849,"Bozeman, MT: Bozeman Yellowstone International",53936,6563,54037,6575,0.14782334618807474,0.2082888922748743,0.16829209615633733,0.23467680608365019
51,10980,"Chattanooga, TN: Lovell Field",52451,3889,52478,3891,0.16422947131608548,0.16868089483157625,0.17908456877167575,0.16268311488049345
243,14696,"South Bend, IN: South Bend International",51020,3627,51015,3636,0.16785574284594276,0.16294458229942102,0.18827795746349113,0.16529152915291528
96,11637,"Fargo, ND: Hector International",51002,4142,51168,4144,0.15942512058350652,0.15016900048285853,0.17960444027517197,0.1694015444015444
85,11481,"Panama City, FL: Northwest Florida Beaches International",50697,4620,50758,4622,0.15146852870978558,0.20952380952380953,0.19403837818668979,0.24167027260926005
12,10279,"Amarillo, TX: Rick Husband Amarillo International",50407,3454,50482,3451,0.15634733271172654,0.1679212507237985,0.21245196307594785,0.23819182845552014
105,11823,"Fort Wayne, IN: Fort Wayne International",49691,2801,49715,2798,0.16578454850979052,0.1917172438414852,0.1884139595695464,0.16154395997140814
90,11603,"Eugene, OR: Mahlon Sweet Field",49557,4802,49636,4804,0.16163206005206127,0.15597667638483964,0.17976871625433152,0.18755203996669442
